upload_id,timestamp,date,time,timezone,utc_offset,branch,remote,commit_message,pull_first,total_files,total_additions,total_deletions,file_path,old_path,change_type,git_status,additions,deletions,is_binary,script
20260503135319-11d039ec,2026-05-03T13:53:19+03:00,2026-05-03,13:53:19,Egypt Daylight Time,+0300,main,origin,Update project files,false,1,174,15,README.md,,modified,M,174,15,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,.claude/settings.local.json,,added,A,8,0,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/LectureFile.dart,,deleted,D,0,37,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/Login.dart,,deleted,D,0,99,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/Project2.dart,,deleted,D,0,582,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/Shosh.dart,,deleted,D,0,15,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/app_constants.dart,,added,A,11,0,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/main.dart,,modified,M,24,111,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/new_dartApp.dart,,deleted,D,0,46,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/control_screen.dart,,modified,M,180,74,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/display_screen.dart,,added,A,141,0,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/home_screen.dart,,modified,M,254,186,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/login_screen.dart,,modified,M,166,74,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/notifications_screen.dart,,added,A,59,0,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/screens/stats_screen.dart,,modified,M,238,62,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/services/connection_service.dart,,modified,M,8,10,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/theme_notifier.dart,,added,A,3,0,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/widgets/control_button.dart,,modified,M,35,16,false,upload.py
20260503141621-90600a84,2026-05-03T14:16:21+03:00,2026-05-03,14:16:21,Egypt Daylight Time,+0300,main,origin,Update project files,false,18,1188,1312,lib/widgets/green_button.dart,,added,A,61,0,false,upload.py
20260503185804-56c63e22,2026-05-03T18:58:04+03:00,2026-05-03,18:58:04,Egypt Daylight Time,+0300,main,origin,Update project files,false,13,91,32,Logo/dark_mode.png,,added,A,,,true,upload.py
20260503185804-56c63e22,2026-05-03T18:58:04+03:00,2026-05-03,18:58:04,Egypt Daylight Time,+0300,main,origin,Update project files,false,13,91,32,Logo/light_mode.png,,added,A,,,true,upload.py
20260503185804-56c63e22,2026-05-03T18:58:04+03:00,2026-05-03,18:58:04,Egypt Daylight Time,+0300,main,origin,Update project files,false,13,91,32,README.md,,modified,M,9,8,false,upload.py
20260503185804-56c63e22,2026-05-03T18:58:04+03:00,2026-05-03,18:58:04,Egypt Daylight Time,+0300,main,origin,Update project files,false,13,91,32,lib/main.dart,,modified,M,2,2,false,upload.py
